Idx,AMD,NVDA,PLTR,TSLA,^GSPC
1,170.89999389648438,124.88418579101562,40.0099983215332,250.0800018310547,5751.06982421875
2,170.97000122070312,127.68339538574219,38.88999938964844,240.8300018310547,5695.93994140625
3,172.8000030517578,132.85189819335938,41.45000076293945,244.5,5751.1298828125
4,171.02000427246094,132.61196899414062,43.130001068115234,241.0500030517578,5792.0400390625
5,164.17999267578125,134.7713623046875,43.52000045776367,238.77000427246094,5780.0498046875
6,167.88999938964844,134.76136779785156,43.5099983215332,217.8000030517578,5815.02978515625
7,165.27000427246094,138.0304412841797,43.400001525878906,219.16000366210938,5859.85009765625
8,156.63999938964844,131.56228637695312,42.43000030517578,219.57000732421875,5815.259765625
9,156.1300048828125,135.68109130859375,41.93000030517578,221.3300018310547,5842.47021484375
10,156.25,136.8907470703125,42.0,220.88999938964844,5841.47021484375
11,155.97000122070312,137.96043395996094,42.970001220703125,220.6999969482422,5864.669921875
12,157.89999389648438,143.66880798339844,42.70000076293945,218.85000610351562,5853.97998046875
13,154.08999633789062,143.54885864257812,42.939998626708984,217.97000122070312,5851.2001953125
14,152.91000366210938,139.51998901367188,42.59000015258789,213.64999389648438,5797.419921875
15,153.44000244140625,140.3697509765625,43.560001373291016,260.4800109863281,5809.85986328125
16,156.22999572753906,141.49942016601562,44.86000061035156,269.19000244140625,5808.1201171875
17,159.9199981689453,140.47972106933594,44.970001220703125,262.510009765625,5823.52001953125
18,166.25,141.20950317382812,44.93000030517578,259.5199890136719,5832.919921875
19,148.60000610351562,139.300048828125,43.689998626708984,257.54998779296875,5813.669921875
20,144.07000732421875,132.72195434570312,41.560001373291016,249.85000610351562,5705.4501953125
21,141.86000061035156,135.36119079589844,41.91999816894531,248.97999572753906,5728.7998046875
22,140.7100067138672,136.01100158691406,41.40999984741211,242.83999633789062,5712.68994140625
23,141.66000366210938,139.86988830566406,51.130001068115234,251.44000244140625,5782.759765625
24,145.10000610351562,145.5682373046875,55.529998779296875,288.5299987792969,5929.0400390625
25,149.82000732421875,148.83734130859375,55.880001068115234,296.9100036621094,5973.10009765625
26,147.9499969482422,147.58767700195312,58.38999938964844,321.2200012207031,5995.5400390625
27,147.35000610351562,145.21835327148438,60.2400016784668,350.0,6001.35009765625
28,143.6300048828125,148.24746704101562,59.849998474121094,328.489990234375,5983.990234375
29,139.3000030517578,146.2280731201172,60.70000076293945,330.239990234375,5985.3798828125
30,138.83999633789062,146.71792602539062,59.18000030517578,311.17999267578125,5949.169921875
31,134.89999389648438,141.9392852783203,65.7699966430664,320.7200012207031,5870.6201171875
32,138.92999267578125,140.10980224609375,61.2599983215332,338.739990234375,5893.6201171875
33,139.38999938964844,146.9678497314453,62.97999954223633,346.0,5916.97998046875
34,137.60000610351562,145.84817504882812,62.119998931884766,342.0299987792969,5917.10986328125
35,137.49000549316406,146.62796020507812,61.36000061035156,339.6400146484375,5948.7099609375
36,138.35000610351562,141.90931701660156,64.3499984741211,352.55999755859375,5969.33984375
37,141.1300048828125,135.9810028076172,64.6500015258789,338.5899963378906,5987.3701171875
38,137.72000122070312,136.88075256347656,65.73999786376953,338.2300109863281,6021.6298828125
39,136.24000549316406,135.3011932373047,66.05000305175781,332.8900146484375,5998.740234375
40,137.17999267578125,138.2103729248047,67.08000183105469,345.1600036621094,6032.3798828125
41,142.05999755859375,138.59027099609375,66.38999938964844,357.0899963378906,6047.14990234375
42,141.97999572753906,140.2198028564453,70.95999908447266,351.4200134277344,6049.8798828125
43,143.99000549316406,145.09840393066406,69.8499984741211,357.92999267578125,6086.490234375
44,141.36000061035156,145.02841186523438,71.87000274658203,369.489990234375,6075.10986328125
45,138.58999633789062,142.40899658203125,76.33999633789062,389.2200012207031,6090.27001953125
46,130.8699951171875,138.77975463867188,72.45999908447266,389.7900085449219,6052.85009765625
47,127.73999786376953,135.04058837890625,70.88999938964844,400.989990234375,6034.91015625
48,130.14999389648438,139.27964782714844,72.51000213623047,424.7699890136719,6084.18994140625
